Query	MAP
question_1	0.01098901098901099
question_2	0.5588235294117647
question_3	0.75
question_4	1.0
question_5	0.36675758166114686
question_6	0.23333333333333334
question_7	0.16140522875816993
question_8	0.5652963797548733
question_9	0.1125
question_10	0.5488782051282051
question_11	0.016653814022235074
question_12	0.22965100971714136
question_13	0.18275702903032093
question_14	0.4442857142857143
question_15	0.25972222222222224
question_16	0.46286656812972593
question_17	0.20536678234046654
question_18	0.2224747474747475
question_19	0.31568738480346603
question_20	0.2857142857142857
question_21	0.42924836601307187
question_22	0.20978095978095979
question_23	0.5222222222222223
question_24	0.30363095238095233
question_25	0.3084948752228164
question_26	0.2868686377474836
question_27	0.057698673939759644
question_28	0.8734126984126983
question_29	0.2521688025010352
question_30	0.5583333333333333
question_31	0.30363095238095233
question_32	0.3084948752228164
question_33	0.6348484848484848
question_34	0.8392857142857142
question_35	1.0
question_36	1.0
question_37	0.5575757575757575
question_38	1.0
question_39	0.6875
question_40	0.34393853831353827
question_41	0.45216105245517
question_42	0.24665378771972887
question_43	0.3742605233436997
question_44	0.270305494035407
question_45	0.7944444444444445
question_46	1.0
question_47	0.6172222222222222
question_48	0.3125
question_49	0.3858251633986928
question_50	0.39384440391983494
question_51	0.613095238095238
question_52	0.21685254910221402
question_53	0.552020202020202
question_54	0.3873015873015873
question_55	0.75
question_56	0.2314825115486432
question_57	0.35485022401582506
question_58	0.33754920152946466
question_59	1.0
question_60	0.41969830502439204
question_61	0.7934782608695652
question_62	0.0750999050799339
question_63	0.34717770034843204
question_64	0.7785714285714286
question_65	0.5088235294117647
question_66	0.5840080971659919
question_67	0.5990824534942183
question_68	0.478131469979296
question_69	1.0
question_70	0.3528645833333333
question_71	1.0
question_72	0.29192427698108864
question_73	0.6388888888888888
question_74	0.6039646627881922
question_75	0.6143790849673202
question_76	0.5852020202020202
question_77	0.48259464706833116
question_78	0.26407385566893415
question_79	1.0
question_80	0.46986708405492233
question_81	0.5171428571428571
question_82	0.31186868686868685
question_83	1.0
question_84	0.5805555555555555
question_85	1.0
question_86	0.7666666666666666
question_87	1.0
question_88	0.6666666666666666
question_89	0.43238125130780497
question_90	1.0
question_91	0.3799522134466051
question_92	1.0
question_93	0.5805555555555555
question_94	0.6666666666666666
question_95	0.8666666666666667
question_96	0.41666666666666663
question_97	0.5
question_98	0.2951388888888889
question_99	0.6954545454545454
question_100	0.41666666666666663
question_101	0.5
question_102	0.3002604581498033
question_103	0.24786230948075433
question_104	0.13955044955044954
question_105	0.20272316261837886
question_106	0.5555555555555555
question_107	0.2943452380952381
question_108	0.35914294750158127
question_109	0.5333658159864225
question_110	0.34469696969696967
question_111	0.2333790521913263
question_112	0.32898989898989905
question_113	0.19139592527658547
question_114	0.46986708405492233
question_115	0.317019362189753
question_116	0.29362437121744694
question_117	0.3247401433691756
question_118	0.5333655705996131
question_119	0.42767221523276505
question_120	0.3002604581498033
question_121	0.2889666121212976
question_122	0.7291666666666666
question_123	1.0
question_124	0.11493651762108137
question_125	1.0
question_126	0.7666666666666666
question_127	0.5285714285714285
question_128	1.0
question_129	0.41969830502439204
question_130	0.7131410256410257
question_131	1.0
question_132	0.8333333333333333
question_133	0.7784090909090909
question_134	0.8875
question_135	0.1361111111111111
question_136	0.7777777777777778
question_137	0.36475694444444445
question_138	0.21763193001359704
question_139	0.42701525054466233
question_140	0.5448397473162035
question_141	0.13677071130898605
question_142	0.7222222222222222
question_143	0.321082535743826
question_144	0.22704540062494089
question_145	0.7777777777777778
question_146	1.0
